age,sex,race,sibs,paeduc,maeduc,family16,fund16,incom16,relig16,mawrkgrw,othlang,born,parborn,granborn,zodiac,degree
35,0,2,3,14,16,1,1,4,1,1,2,1,2,2,12,1
55,1,1,1,12,18,5,1,2,1,1,1,1,0,0,4,1
28,0,2,6,16,16,2,2,4,2,1,1,2,8,4,9,0
77,0,1,0,12,12,5,2,2,1,1,2,1,0,2,7,0
30,0,2,3,12,12,5,1,2,1,1,2,1,0,1,11,0
67,0,1,3,5,7,1,1,3,1,1,1,1,0,0,1,0
53,0,2,3,12,15,5,2,3,1,1,1,1,0,0,2,0
37,0,2,5,12,16,5,1,1,1,1,2,2,0,0,7,0
51,0,2,7,14,14,2,2,1,1,1,2,1,0,0,3,1
35,0,2,6,12,11,5,2,2,1,1,2,1,0,0,4,0
60,0,1,0,16,20,1,1,4,1,1,1,1,0,1,4,1
68,1,3,1,17,15,1,3,4,4,1,1,2,8,4,8,1
43,1,1,5,13,16,1,2,4,1,1,2,1,0,0,6,1
36,0,3,3,12,10,3,2,2,2,1,1,2,8,4,4,0
34,0,2,3,12,12,5,2,5,1,1,2,1,0,0,6,0
39,1,2,6,10,6,1,2,5,1,1,1,2,8,4,5,1
52,1,1,8,12,10,3,3,3,1,1,2,1,0,0,8,0
70,1,1,2,12,12,1,3,3,1,2,2,1,0,0,4,0
60,1,1,2,12,12,1,2,3,2,2,2,1,0,2,2,0
61,0,1,1,12,12,1,2,3,1,1,2,1,0,0,6,0
32,0,1,1,12,12,1,1,2,1,1,1,1,0,0,6,0
40,0,1,2,12,12,5,2,3,2,1,2,1,0,0,5,1
44,1,1,2,14,12,1,3,4,10,2,2,1,2,2,2,0
67,0,2,9,5,6,1,1,3,1,1,2,1,0,0,12,0
70,0,1,1,14,14,1,3,3,1,1,1,1,0,4,10,1
27,0,1,2,16,16,1,2,4,2,1,2,1,0,0,7,1
30,0,1,2,16,16,1,3,4,1,1,1,1,0,0,8,1
61,1,1,1,9,9,1,3,2,1,1,2,2,8,4,3,0
30,1,1,1,18,20,1,2,5,2,1,2,1,2,1,4,1
38,1,1,1,16,12,1,2,2,2,1,1,1,0,0,11,1
27,0,1,1,12,16,5,2,3,2,1,2,1,0,0,6,1
67,0,1,5,8,8,1,2,3,2,1,2,1,0,1,5,0
45,1,1,5,14,16,1,2,4,2,1,1,1,0,2,3,1
68,0,1,3,12,12,1,2,3,2,2,2,1,0,3,9,0
77,0,1,1,12,12,1,2,2,2,1,2,1,1,4,6,0
78,0,1,3,15,12,8,3,3,1,2,2,1,0,0,1,1
61,0,1,5,16,16,1,2,2,1,1,2,1,0,0,3,1
72,1,1,2,12,12,1,3,3,1,1,2,2,8,4,3,0
89,0,1,4,12,0,1,2,3,2,1,2,1,0,4,4,0
75,0,1,4,12,16,5,3,5,1,1,2,2,8,4,4,1
48,1,3,1,12,12,1,2,1,7,2,1,2,8,4,12,1
48,0,1,2,14,16,1,2,3,2,1,2,1,0,0,1,1
41,0,1,2,16,17,1,3,3,3,1,1,1,0,0,4,1
30,0,1,2,16,16,1,1,4,1,1,1,1,0,0,3,1
29,0,1,1,16,16,1,3,3,1,1,1,1,0,0,8,1
38,1,2,4,12,12,1,2,3,2,2,1,2,8,4,4,0
76,0,2,7,14,4,0,2,3,1,2,1,2,8,4,5,0
55,0,3,4,12,12,5,2,1,11,1,2,1,1,2,5,0
28,1,1,1,18,20,1,3,4,3,1,1,1,0,0,4,1
24,0,3,1,19,19,1,2,2,1,1,1,2,8,4,1,1
