status_id	created_at	screen_name	text	favorite_count	retweet_count
1372929623529512971	2021-03-19T15:15:04Z	nytimes	Many Asian-American women viewed Tuesday’s shooting rampage in Atlanta as a culmination of racialized misogyny, said Sung Yeon Choimorrow, the executive director of the National Asian Pacific American Women’s Forum. https://t.co/8q1ORPaQOI https://t.co/h83R6c2Goy	270	80
1372928078951936004	2021-03-19T15:08:56Z	nytimes	Breaking News: Elementary school students in the U.S. who wear masks need only stay three feet apart, the CDC said, relaxing the previous six-foot distancing rule. The major change may speed children's return to classrooms. https://t.co/q7Zd1vuIBX	222	70
1372925932592304128	2021-03-19T15:00:24Z	nytimes	"In Opinion

“This new, self-effacing Biden is an exorcism of Donald Trump,” writes @FrankBruni. “This new, no-drama Biden is an echo of Barack Obama, whose lessons, good and bad, he has obviously learned.”

https://t.co/Pbj7A1SOrP"	142	23
1372925421780602882	2021-03-19T14:58:22Z	nytimes	President Biden nominated Bill Nelson, a former senator from Florida and onetime astronaut, to lead NASA. https://t.co/6qhjDiDzdO	380	76
1372922069441245201	2021-03-19T14:45:03Z	nytimes	An assistant district attorney in Bucks County, Pennsylvania, was demoted after admitting he worked a second job as a delivery man for DoorDash while on the clock for the county. https://t.co/nAyUnjh6gO	123	25
1372918296597651459	2021-03-19T14:30:04Z	nytimes	This 89-year-old grandma is believed to be the oldest professional sharpshooter in the world, and she has dozens of medals to show for it. She's also a feminist icon in India, with a Bollywood movie based on her life. https://t.co/WWcofRNoCP	1472	255
1372914523858944001	2021-03-19T14:15:04Z	nytimes	The @NFL Signs Media Deals Worth Over $100 Billion https://t.co/EQkdEbmAUx Broadcast revenue nearly doubles. The players won't see a huge windfall immediately b/c deals start in 2023 and the first years have modest increases. W/@kevinmdraper @NFLPA @NYTSports @nytimes	0	9
1372910808557031425	2021-03-19T14:00:18Z	nytimes	"China’s top diplomat, addressing the Biden administration in Alaska on Thursday, delivered a 16-minute speech accusing the U.S. of condescension and hypocrisy.

The fraught meeting underlined China’s newly combative and unapologetic strategy.

https://t.co/1PPi2VFZ6U"	186	56
1372905730630684673	2021-03-19T13:40:08Z	nytimes	The calcified dress codes of Washington are changing, one swearing-in at a time. Yesterday, Deb Haaland moved the needle again. https://t.co/vhK70ejKL2	0	58
1372904452286464003	2021-03-19T13:35:03Z	nytimes	"Recent attacks on Asian-Americans have exposed how rarely such violence is actually charged as a hate crime.
https://t.co/748k7JBMIE"	404	113
1372903210021761024	2021-03-19T13:30:07Z	nytimes	"Four of the eight people killed at massage spas in the Atlanta area have been publicly identified so far.

Here’s what we know about the victims. https://t.co/ru4in3tirA"	168	52
1372900698858348573	2021-03-19T13:20:08Z	nytimes	Russia recalled its ambassador to the U.S. this week and unleashed a storm of derision aimed at President Biden after he agreed in a TV interview that President Vladimir Putin was a killer. https://t.co/QFHkOJgkXu	517	118
1372899430299471885	2021-03-19T13:15:06Z	nytimes	"The 2021 NCAA men’s basketball tournament tips off in earnest on Friday.

Here’s what to watch for this weekend.
https://t.co/4Es5L4eXot"	67	13
1372898170162839557	2021-03-19T13:10:05Z	nytimes	“I think it is a race against time. Every single person that we can get vaccinated or every single person that we can get a mask on is one less opportunity that a variant has.” https://t.co/N0DQnSClRr	0	30
1372896908465823746	2021-03-19T13:05:04Z	nytimes	"President Biden and Vice President Kamala Harris will meet with Asian-American leaders in Atlanta on Friday after eight people, including six women of Asian descent, were killed this week.
https://t.co/saUAx66zyk"	1447	324
1372894396354547715	2021-03-19T12:55:05Z	nytimes	"President Biden ordered flags to be flown at half-staff through sunset on Monday to honor the eight people killed in a string of shootings in the Atlanta area this week.

Here’s what we know about the investigation.
https://t.co/VxzMj8urcv"	331	45
