user_id,screen_name,status_id,text,created_at,day,month,year,is_quote,is_retweet,favorite_count,retweet_count,quote_count
939091,JoeBiden,1449483543965544453,The voter registration deadline is coming up in several states. Make sure you’re registered to vote at https://t.co/Hy8C4mIL2M and vote for Democrats up and down the ballot to keep America moving forward. https://t.co/c9DiEScQon,2021-10-16T21:13:01Z,16,10,2021,FALSE,FALSE,7611,2225,NA
939091,JoeBiden,1449474551725928455,To everyone at today’s National Peace Officers’ Memorial Service: Your loss is our nation’s loss. Your pain is our nation’s pain. May the souls of those you love — and those with whom you have served — rest in peace and rise in glory. https://t.co/Ww5alp3vft,2021-10-16T20:37:17Z,16,10,2021,FALSE,TRUE,0,2508,NA
939091,JoeBiden,1449183311121760259,"With the expanded Child Tax Credit, working families are getting the relief they need thanks to the American Rescue Plan. 

This money is making a difference for countless Americans and lifting millions of kids out of poverty.",2021-10-16T01:20:00Z,16,10,2021,FALSE,FALSE,15349,2160,NA
939091,JoeBiden,1449170733561692160,"Today, another round of payments from the expanded Child Tax Credit will help millions of families across the country with payments of up to $300 per child. 

This is just the first step. Our Build Back Better Agenda will extend this benefit for years to come.",2021-10-16T00:30:01Z,16,10,2021,FALSE,FALSE,12266,1849,NA
939091,JoeBiden,1449161163707588615,The evidence is clear: Vaccination requirements work. https://t.co/aODppNEa7F,2021-10-15T23:52:00Z,15,10,2021,FALSE,FALSE,10986,1663,NA
939091,JoeBiden,1449091208836489218,"More than 1 out of 3 eligible seniors have already received their COVID-19 booster. 

We’re going to continue to provide that protection to seniors and everyone else as we head into the holiday season. Together, we can put this pandemic behind us.",2021-10-15T19:14:01Z,15,10,2021,FALSE,FALSE,10139,1298,NA
939091,JoeBiden,1449012757362315265,A promise I didn’t take lightly. https://t.co/rkmkGRIUVi,2021-10-15T14:02:17Z,15,10,2021,FALSE,FALSE,24044,3090,NA
939091,JoeBiden,1448789464650862594,Our plan to accelerate a path out of this pandemic is working. https://t.co/HodK4Y7glV,2021-10-14T23:15:00Z,14,10,2021,FALSE,FALSE,11505,1639,NA
939091,JoeBiden,1448656090221006862,"Tomorrow, @DrBiden is back on the campaign trail for a grassroots event with @TerryMcAuliffe.

Virginia, you’re not going to find anyone who knows how to get more done than Terry. Let’s keep moving Virginia forward. RSVP now. 
https://t.co/V2t07vgPmp",2021-10-14T14:25:01Z,14,10,2021,FALSE,FALSE,6801,1117,NA
939091,JoeBiden,1448389770313441287,"After working closely with my team, the Port of Los Angeles is announcing today that it will begin operating 24 hours 7 days a week — which follows the Port of Long Beach’s commitment.

A 24/7 system is what most of the leading countries operate on. Except us. Until now.",2021-10-13T20:46:45Z,13,10,2021,FALSE,TRUE,0,4215,NA
